MW,LogP,LogD7.4,LogS,TPSA,nHA,nHD,nRot,nRing,nAromRing,Fsp3,MaxRing,HIA,F20,F30,Caco2,MDCK,Pgp_inhibitor,Pgp_substrate,HIA_Class,BBB,PPB,VDss,Fu,BBB_Class,PPB_Rate,VDss_Class,CYP1A2_inh,CYP1A2_sub,CYP2C9_inh,CYP2C9_sub,CYP2C19_inh,CYP2C19_sub,CYP2D6_inh,CYP2D6_sub,CYP3A4_inh,CYP3A4_sub,CYP2B6_inh,CYP2C8_inh,UGT1A1_inh,Metabolic_Stability,Half_Life_T12,Clearance,T12,Renal_Clearance,Hepatic_Clearance,Excretion_Pathway,hERG_Blocker,HHT,DILI,Ames_Mutagenicity,Carcinogenicity,Skin_Sensitization,Respiratory_Toxicity,Eye_Corrosion,Eye_Irritation,Acute_Oral_Toxicity,Acute_Dermal_Toxicity,Chronic_Toxicity,Reproductive_Toxicity,Neurotoxicity,Immunotoxicity,Genotoxicity,Phototoxicity,Endocrine_Disruption,QED,Lipinski,Pfizer,GSK,GoldenTriangle,Veber,Egan,PAINS,Synthetic_Accessibility,Drug_Score,BCF,LC50_Fish,Biodegradability,Acute_Aquatic_Toxicity,Alarm_NMR,Toxicophores,LD50_Oral,smiles,binding,total_params
366.46,0.16,-0.34,-2.92,77.11,8,2,9,3,1,0.722,3,0.625,0.765,0.059,-4.129,8.254e-05,0.83,0.89,HIGH,0.715,53.6,2.49,27.5,PENETRANT,89.2%,3.69 L/kg,0.339,0.265,0.443,0.491,0.391,0.155,0.113,0.387,0.052,0.073,0.012,0.015,0.09,UNSTABLE,1.41,9.3,0.89,1.42,4.87,RENAL,0.129,0.104,0.072,0.278,0.043,0.277,0.113,0.275,0.195,0.509,0.189,0.013,0.103,0.099,0.073,0.275,0.014,0.484,0.473,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,1.04,0.339,1.93,5.27,PERSISTENT,0.607,YES,1,4472.8,N1CCOCC1c1ccncc1N1CCOCC1COCCOCN(C),-9.43,84
202.26,2.91,2.41,-1.54,48.91,2,2,2,2,2,0.25,2,0.882,0.093,0.178,-5.212,3.416e-05,0.952,0.619,HIGH,0.68,72.1,4.15,5.1,NON-PENETRANT,70.6%,1.99 L/kg,0.016,0.334,0.346,0.001,0.267,0.009,0.099,0.415,0.239,0.109,0.086,0.103,0.37,UNSTABLE,1.8,8.94,4.62,2.94,1.24,BILIARY,0.266,0.97,0.395,0.039,0.129,0.138,0.348,0.239,0.177,0.865,0.159,0.063,0.187,0.009,0.284,0.019,0.238,0.477,0.786,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ALERT,1.07,0.599,0.78,3.25,PERSISTENT,0.908,NO,2,3688.7,CC(C)c1ccc(O)cc1c1cnc[nH]1,-9.32,84
226.32,4.37,3.87,-0.81,9.23,1,0,3,2,2,0.25,2,0.656,0.977,0.846,-5.036,3.027e-05,0.119,0.942,LOW,0.611,94.0,7.05,6.4,PENETRANT,61.8%,3.26 L/kg,0.218,0.319,0.16,0.249,0.316,0.059,0.185,0.013,0.168,0.255,0.204,0.387,0.218,UNSTABLE,3.72,3.07,7.74,3.09,4.38,BILIARY,0.184,0.469,0.396,0.274,0.277,0.442,0.039,0.207,0.359,0.974,0.234,0.371,0.355,0.09,0.251,0.27,0.267,0.122,0.755,ACCEPTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,1.45,0.596,1.46,3.52,PERSISTENT,0.484,YES,3,128.1,CCOc1ccc(C)cc1c1ccc(C)cc1,-9.2,84
175.23,0.52,0.02,-2.74,47.56,3,1,9,0,0,0.875,0,0.926,0.041,0.954,-5.591,2.84e-05,0.913,0.138,HIGH,0.962,73.3,7.1,49.8,PENETRANT,86.3%,5.19 L/kg,0.32,0.341,0.238,0.113,0.391,0.323,0.268,0.46,0.1,0.255,0.166,0.088,0.283,STABLE,4.11,14.06,8.92,4.41,5.58,BILIARY,0.055,0.166,0.172,0.24,0.487,0.007,0.34,0.26,0.327,0.654,0.227,0.134,0.15,0.247,0.009,0.098,0.205,0.06,0.316,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,0 ALERTS,2.47,0.707,1.81,9.46,PERSISTENT,0.06,NO,1,1476.4,C(=O)NCOCCCOCC(C),-9.06,84
197.24,0.54,0.04,-2.73,71.35,3,2,5,1,1,0.444,1,0.97,0.942,0.176,-4.544,6.595e-05,0.895,0.992,HIGH,0.635,40.7,3.96,15.0,NON-PENETRANT,76.0%,5.73 L/kg,0.48,0.247,0.449,0.122,0.382,0.142,0.442,0.234,0.401,0.164,0.199,0.245,0.364,UNSTABLE,3.78,11.34,5.57,4.66,3.2,RENAL,0.135,0.572,0.199,0.165,0.042,0.036,0.166,0.055,0.364,0.236,0.379,0.376,0.166,0.018,0.078,0.242,0.126,0.162,0.723,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,0 ALERTS,3.08,0.421,1.53,9.09,BIODEGRADABLE,0.163,NO,2,687.4,c1cc[nH]c1CN(C)CCOC(=O)N,-8.97,84
240.69,1.27,0.77,-2.37,50.36,3,2,2,2,1,0.364,2,0.613,0.848,0.674,-4.222,6.404e-05,0.159,0.415,HIGH,0.88,24.6,4.8,26.5,PENETRANT,18.3%,5.70 L/kg,0.433,0.175,0.28,0.338,0.229,0.41,0.027,0.436,0.422,0.428,0.125,0.394,0.315,STABLE,4.24,10.11,0.69,0.5,5.71,HEPATIC,0.177,0.449,0.476,0.126,0.322,0.23,0.022,0.17,0.494,0.85,0.157,0.131,0.065,0.061,0.104,0.257,0.141,0.349,0.819,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,3.14,0.648,2.13,5.37,BIODEGRADABLE,0.354,NO,3,4012.1,N1CCOCC1C(=O)Nc1ccc(Cl)cc1,-8.95,84
214.26,-0.24,-0.74,-3.12,58.64,4,1,7,1,0,0.8,1,0.875,0.055,0.703,-4.904,1.432e-05,0.838,0.056,HIGH,0.954,49.4,0.76,21.8,PENETRANT,77.2%,1.25 L/kg,0.156,0.04,0.457,0.094,0.332,0.471,0.16,0.085,0.235,0.383,0.32,0.131,0.341,UNSTABLE,2.59,5.17,9.94,4.28,9.73,RENAL,0.177,0.412,0.367,0.274,0.153,0.032,0.342,0.222,0.164,0.964,0.202,0.035,0.042,0.237,0.359,0.225,0.251,0.161,0.594,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,1.37,0.35,0.39,3.2,BIODEGRADABLE,0.709,NO,1,453.6,C(=O)NCC(=O)COCN1CCCCC1,-8.95,84
366.45,3.56,3.06,-1.22,68.21,7,0,4,4,3,0.263,4,0.535,0.649,0.807,-4.665,8.57e-05,0.443,0.689,LOW,0.076,94.3,6.66,21.2,NON-PENETRANT,73.3%,9.33 L/kg,0.253,0.453,0.099,0.151,0.095,0.123,0.458,0.278,0.11,0.168,0.368,0.302,0.179,STABLE,9.54,3.75,2.53,3.96,6.74,HEPATIC,0.236,0.984,0.068,0.068,0.052,0.001,0.444,0.212,0.381,0.735,0.101,0.388,0.069,0.233,0.264,0.148,0.071,0.161,0.658,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,2.07,0.325,1.1,0.27,BIODEGRADABLE,0.743,NO,1,1374.7,c1ccsc1N1CCCCC1C(=O)Oc1ncccc1c1cnccn1,-8.92,84
255.34,0.55,0.05,-2.73,44.81,6,1,5,2,1,0.545,2,0.977,0.588,0.879,-4.183,2.569e-05,0.369,0.528,HIGH,0.726,11.8,5.87,28.9,PENETRANT,62.4%,5.01 L/kg,0.301,0.075,0.224,0.466,0.446,0.471,0.317,0.102,0.283,0.063,0.231,0.158,0.157,STABLE,3.82,1.47,3.03,4.14,6.74,RENAL,0.141,0.182,0.158,0.215,0.122,0.475,0.001,0.252,0.475,0.694,0.126,0.377,0.267,0.177,0.391,0.222,0.158,0.061,0.778,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,0 ALERTS,1.61,0.627,0.61,2.74,BIODEGRADABLE,1.0,NO,1,2102.4,C(=O)ON1CCNCC1CN(C)c1ccsc1,-8.77,84
156.19,2.14,1.64,-1.93,25.78,2,0,1,2,2,0.0,2,0.932,0.541,0.293,-4.401,9.202e-05,0.524,0.906,LOW,0.817,56.9,8.07,28.7,NON-PENETRANT,74.0%,0.78 L/kg,0.473,0.226,0.316,0.008,0.45,0.205,0.337,0.24,0.266,0.223,0.201,0.238,0.368,UNSTABLE,4.24,5.88,9.99,0.38,8.03,BILIARY,0.077,0.882,0.307,0.103,0.06,0.455,0.17,0.229,0.021,0.59,0.139,0.167,0.177,0.127,0.085,0.253,0.274,0.168,0.632,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,0 ALERTS,2.18,0.599,1.38,6.2,PERSISTENT,0.602,NO,0,2978.3,c1ncccc1c1ncccc1,-8.75,84
