smiles,binding
c1ccccc1c1ccc(O)cc1N1CCCCC1C(=O)N,-8.997068738552919
C(=O)Oc1ccc(Cl)cc1c1ccc(O)cc1CN(C),-8.98251821011673
ClN1CCNCC1NCCCN(C)OCCO,-8.980092604815795
CN(C)COCCOc1ccoc1N1CCNCC1c1ccsc1c1ccncc1,-8.976758529595497
c1ccc(F)cc1CCCCOc1ccncc1,-8.976356274942397
N1CCCCC1N1CCNCC1NCCc1ccc(Cl)cc1,-8.976356274942397
c1ccc(F)cc1c1ccccc1N1CCNCC1,-8.974835421210475
OCCOC(=O)NCCCCOC(=O)Oc1ccsc1,-8.97403048623731
CN(C)c1ccc(O)cc1CCOc1ccc(O)cc1NCC,-8.970543938856352
COCCCOc1ccncc1c1ccccc1Cl,-8.955143424913285
N1CCCCC1c1ccsc1CC(C)c1ccsc1C(=O)O,-8.942080511668783
COCCCOCN(C)N1CCNCC1C(=O)Oc1ccsc1,-8.935001982145414
N1CCNCC1NCCC#N,-8.928090611961089
c1ccc(F)cc1c1ccccc1CC(=O)COCCOc1ccc(F)cc1S(=O)(=O)N,-8.912044042582012
CCCCOOCCON1CCNCC1F,-8.91197154362041
CCCCOc1ccc(Cl)cc1C(=O)Oc1ccc(O)cc1,-8.911885373800647
c1ccsc1c1ccc(O)cc1S(=O)(=O)Nc1ccc(O)cc1CN(C)COC,-8.91175883200378
C(=O)OCOCc1ccoc1c1ccsc1N1CCNCC1OCCO,-8.909398843884683
c1ccncc1CN(C)CC(C)N1CCCCC1C(=O)NC(=O)O,-8.89543487275434
CC(=O)CC(C)C(=O)NNCC,-8.894408172853655
S(=O)(=O)NCOCCCOCCOc1ccc(O)cc1CCCCOCOC,-8.88734929896409
CN(C)CC(=O)S(=O)(=O)NCCOc1ccoc1COCCCO,-8.87982183208679
COCCCON1CCCCC1C#N,-8.87817963353559
OCCOC(=O)OCC(C)c1ccsc1,-8.8453741718046
NCCN1CCNCC1COCCCOc1ccsc1,-8.839846854780472
CC(C)N1CCNCC1C#N,-8.836294973128453
COCCOc1ccc(Cl)cc1CC(C)C(=O)OC#N,-8.833317131088355
CC(=O)c1ccsc1C(=O)NCOCCOCCO,-8.830361988180687
CCOC(=O)OCOCc1ccsc1CC(C)c1ccccc1,-8.82959594012472
c1ccc(O)cc1COCCOc1ccc(F)cc1C(=O)OC(=O)NC(=O)N,-8.82601998588034
ClCOCc1ccc(Cl)cc1COC,-8.823134333005202
CCOc1ccc(Cl)cc1OCCOCOCCONCCc1ccccc1,-8.81766728504147
c1ccsc1CCOOCCOCN(C),-8.810659017463685
