SMILES,MW,LogP,HBD,HBA
COCOCc1ccccc1c1ccccc1,228.29,3.47,0,2
CC(=O)c1ccncc1C(=O)NCC(C),206.24,1.42,1,3
c1ccncc1NCCC#N,147.18,1.41,1,3
OCCC(C)CCNCC,145.25,1.00,2,2
CN(C)CN(C)OCNc1ccccc1Cl,243.74,2.09,1,4
OCCN(C)CC(=O)C(=O)OCC(C)c1ccncc1,280.32,0.22,1,6
c1ccccc1C(=O)Oc1ccccc1,198.22,2.91,0,2
c1ccncc1CC(C)COCCN(C)O,224.30,1.60,1,4
Cc1ccccc1c1ccccc1Cl,202.68,4.32,0,0
C(=O)NNCN(C)C(=O)N,146.15,-1.79,3,3
CC(C)S(=O)(=O)NC(=O)Oc1ccccc1O,259.28,1.22,2,5
CCC(=O)Oc1ccncc1Nc1ccccc1Cl,276.72,3.79,1,4
CCCc1ccccc1F,138.18,2.78,0,0
COCCC(C)CCCC(C),158.28,3.24,0,1
OCCC(C)OCNCCc1ccccc1,223.32,1.56,2,3
OC(=O)NCS(=O)(=O)N,154.15,-1.50,3,3
CC(C)CCN(C),101.19,1.25,1,1
COCOC(=O)Oc1ccccc1,182.18,1.81,0,4
OCC(=O)NC(=O)Oc1ccccc1C(=O)Oc1ccncc1,316.27,0.91,2,7
NCC(=O)C(=O)NCCCC(C),172.23,-0.18,2,3
